Palabra,Descripción
Necesidad,La mano se mueve varias veces de arriba hacia abajo. Se ven los dientes juntos.
Niña,La mano toca el lóbulo y sin despegarse gira varias veces.
Niño,"La mano, manteniéndose en contacto con la nariz, gira de arriba hacia abajo."
Nosotros,"La mano toca el pecho, se separa en curva, gira y toca el otro lado del pecho."
Nosostras, "La mano toca el pecho, se separa en curva, gira y toca el otro lado del pecho."
Nuestro,"La mano toca el pecho, se separa en curva, gira y toca el otro lado del pecho."
Oportunidad,Las manos frente al pecho hacen las letras O y P y se desplazan levemente hacia delante. La boca está en forma de beso abierto.
Oral,La mano forma círculos alrededor de la boca. La boca esta en forma de beso abierto.
Oralista,La mano forma círculos alrededor de la boca. La boca esta en forma de beso abierto.
Orden,Los brazos juntos se desplaza en zigzag hacia fuera.
Ordenar,Los brazos juntos se desplaza en zigzag hacia fuera.
Padre,La mano toca la mejilla y luego la sien.
Perder,Las manos se separan en curva hacia afuera. La lengua está entre los labios.
Piso,La mano toca tres veces el brazo mientras se desliza hacia arriba.
Por favor,La mano hace un círculo en el pecho.
Poder,Las manos se desplazan hacia abajo. El ceño se frunce y se mantiene la boca cerrada con los labios hacia afuera.
Prestar,Los dedos entrecruzados se desplazan hacia el pecho.
Provincia,La mano baja en cuerva y toca la mano contraria.
Regresar,Las manos giran alternadamente una sobre la otra.
Volver,Las manos giran alternadamente una sobre la otra.
Renunciar,La mano se desplaza en curva desde el especio que deja la mano contraria.
Renuncia,La mano se desplaza en curva desde el especio que deja la mano contraria.
Reunirse,La mano toca la palma de la mano contraria y se desliza varias veces.
Reunión,La mano toca la palma de la mano contraria y se desliza varias veces.
Robar,"La muñeca gira mientras los dedos se recogen, la mano queda cerrada. La mejilla se infla."
Sexo,"El índice se desliza por el área del bigote, luego toca la oreja."
Sindicato,La mano se mueve hacia delante dos veces.
Solo,La mano gira en círculos.
Soltero,Las manos se mueven hacia delante en curva.
Soltera, Las manos se mueven hacia delante en curva.
Solucionar,Las manos se separan mientras se cierran. Los labios están en forma de beso abierto.
Solución,Las manos se separan mientras se cierran. Los labios están en forma de beso abierto.
Sordo,El índice toca la oreja y luego la boca. La boca está cerrada con los labios hacia fuera.
Sorda, El índice toca la oreja y luego la boca. La boca está cerrada con los labios hacia fuera.
Supervisar,"La mano toca el rostro, luego se desplaza hacia adentro en cuerva."
Supervisor,"La mano toca el rostro, luego se desplaza hacia adentro en cuerva."
Supervisora, "La mano toca el rostro, luego se desplaza hacia adentro en cuerva."
Taxi,La mano de arriba se desliza de adentro hacia fuera varias veces.
Tener,La mano toca el hombro del mismo brazo dos veces.
Tiempo,El dedo toca dos veces la muñeca de la mano contraria.
Hora,El dedo toca dos veces la muñeca de la mano contraria.
Tú,La mano se desplaza un poco hacia adelante.
Universidad,La mano toca el hombro dos veces mientras sube en cuerva con movimientos cortos.
Ustedes,La mano se desliza en curva de adentro hacia fuera.
